Recipient Organization,recipientcodename
Hy-Vee Inc.,private sector corporations
IAM - InterNational Assistance Mission ,NGOs
Ibdesch Patenschaften,other
"Ibero-American States Organization for Education, Science & Culture",NGOs
IBIS,academia/think/research
IBM,private sector corporations
IBN SINA,private sector corporations
Ibon Foundation,foundations
ICASE,private individual organisations
ICCO - Interchurch organisation for development co-operation,NGOs
ICDO - InterNational Civil Defence Organisation ,Other multi
ICDP - InterNational Child Development Programme,NGOs
Iceland,DAC governments
Iceland Red Cross,red cross
Icelandic Church Aid,foundations
Icelandic Crisis Response Unit,DAC governments
Icelandic Red Cross,red cross
ICI Pakistan,private sector corporations
ICIMOD,academia/think/research
ICMA - InterNational City/County Management Association,other
ICMPD/IOM,other
ICU,NGOs
IDDEALES,private individual organisations
IDE Myanmar,NGOs
IDRC,academia/think/research
IFRC Disaster Relief Emergency Fund,red cross
IFTIIN Education and Development Association,NGOs
IGAD Partnership Forum,other
Igarapé,NDD
IHI - InterNational Humanitarian Initiative,other
IHS,other
IICD - InterNational Institute for Communication and Development,foundations
IIDA Women's Development Organization,other
Iimaan Relief and Development Organization,NGOs
IKEA Foundation,foundations
I-LIFE,other
ILP-InterNational Law and Policy Group,academia/think/research
ILR,DAC governments
IMA,other
Impact Forum Norway,NGOs
Imperial College,academia/think/research
Inasmuch Foundation,foundations
INDE - Intercooperaçao e Desenvolvimento (Portuguese NGO),NGOs
Independent Commission for Human Rights,private individual organisations
Indesch Patenschaften,NGOs
India,NDD
India Red Cross,red cross
Indian Red Cross Society,red cross
Indivduell Mànniskohjàlp - Swedish NGO,NGOs
Indonesia,NDD
Indonesia Red Crescent,red cross
Indonesian Farmers Funds,UN Multi
Indonesian Humanitarian Committee,private individual organisations
Indonesian Red Crescent Society,red cross
INDONESIA-PALESTINE FRIENDSHIP INITIATIVE,other
Indus Resource Centre,private sector corporations
Industri Energi (fagforbundet),private individual organisations
INETER,academia/think/research
Infineon Technologies,private sector corporations
InfoAsAid,private individual organisations
INFONOR,other
Information Management and Mine Action Programs,private individual organisations
"Information Technology Outreach Services, U of Georgia",academia/think/research
ING Group Disaster Relief Fund,private sector corporations
Inglesia Morava,private sector corporations
Initiativ for Etisk Handel,other
Initiative Congolaise pour la Gestion autonome des populations,NGOs
Initiative Development,private individual organisations
Initiative Developpement,private individual organisations
Initiative Développement,private individual organisations
Initiative Dritte Welt Braunau,NGOs
Initiative for Change,NGOs
Initiative for Development and Empowerment Axis,private individual organisations
INMED Partnership for Children,NGOs
Innovasjon Norge,private sector corporations
Innovative Development Organization,NGOs
Inprosula,private sector corporations
Insan Association,NGOs
INST. UNIV. DE HAUTES ETUDES INT.,academia/think/research
Institut Menzingen,other
Institute for Human Rights and Business,academia/think/research
Institute for InterNational Co-operation and Development,NGOs
Institute for InterNational Social Affairs,academia/think/research
Institute for War and Peace Reporting,NGOs
Institute of Cultural Affairs Japan,NGOs
Institute of Development Studies,academia/think/research
"Institute of Human Rights Communication, Nepal ",NGOs
Institute of Water and Environment,private individual organisations
Instituto Cabo Verdiano de Accao Social Escolar,academia/think/research
Instituto Colombiano de Bienestar Familial,NDD
Instituto de Directores de Mocambique,private individual organisations
Instituto de Estudios del Hambre ,academia/think/research
Instituto Dominicano de Desarrollo Integral ,private individual organisations
Instituto Sou da Paz,academia/think/research
Institutt for Journalistikk,academia/think/research
Institutt for Sosiologi og Samfunnsgeografi,academia/think/research
Integra LifeSciences Holdings Corporation,private sector corporations
Integrated Health Services,other
Integrated Regional Information Network,UN Multi
Integrated Rural Development and Nature Conservation,NGOs
Integrated Sustainable Livelihoods,other
Integrationsrat,DAC governments
Intel,private sector corporations
Inter Aide,NGOs
Inter Américain de Coopération Agricole ,Other multi
Inter Cooperation,DAC governments
Inter Press Service,private sector corporations
Inter Religious Council,NGOs
InterAct,NGOs
InterAction,NGOs
Interaction in Development Foundation,NGOs
Inter-Actions,NGOs
Inter-American Development Bank,Other multi
Intercare,NGOs
Interchurch Medical Assistance,NGOs
Interchurch Organisation for Development Co-operation,NGOs
Intergov Authority on Development,Other multi
Intergov Authority on Development ,Other multi
Inter-Governmental Agency on Development,Other multi
Intergovernmental Organization,other
Interkerkelijke Organisatie voor Ontwikkelingssamenwerking,NGOs
INTERMON,NGOs
Intermon Oxfam,NGOs
InterNational Action Network on Small Arms,NGOs
InterNational Agricultural Research Center,academia/think/research
InterNational Aid,NGOs
InterNational Aid Hand,NGOs
InterNational Aid Services,NGOs
InterNational Aid Services Denmark,NGOs
InterNational Air Transport Association,private sector corporations
InterNational Alert,NGOs
InterNational Alliances,other
InterNational Assistance Mission,NGOs
InterNational Association for Maternal and Neonatal Health ,NGOs
InterNational Bank for Reconstruction & Development (World Bank),Other multi
InterNational Business Leaders Forum,private individual organisations
InterNational Campaign to Ban Landmines,NGOs
InterNational Catholic Migration Commission,NGOs
InterNational Center for Agricultural Research in Dry Areas ,academia/think/research
InterNational Center for Integrated Mountain Development,academia/think/research
"InterNational Centre for Diarrhoeal Disease Research, Bangladesh",academia/think/research
InterNational Centre for Migration Policy Development,academia/think/research
InterNational Centre for Transitional Justice,academia/think/research
InterNational Cities of Refuge Network,private individual organisations
InterNational Civil Defense Organisation,Other multi
InterNational Coalition to Ban Uranium Weapons,NGOs
InterNational Commission Against Impunity,Other multi
International Commission against the Death Penalty - ICDP,Other multi
InterNational Commission of Jurists,NGOs
InterNational Commission on Missing Persons,NGOs
InterNational Committee for the Development of Peoples,NGOs
InterNational Committee of the Red Cross,red cross
InterNational Corn Foundation,foundations
InterNational Council of Voluntary Agencies,NGOs
InterNational Council on Human Rights Policy,academia/think/research
InterNational Criminal Court,Other multi
InterNational Criminal Police Organization - INTERPOL,private individual organisations
InterNational Criminal Tribunal for Rwanda,Other multi
InterNational Crisis Group,NGOs
InterNational Dalit Solidarity Network,NGOs
InterNational Development and Relief Foundation,NGOs
InterNational Development Enterprises,NGOs
InterNational Development Law Organisation,NGOs
InterNational Dispensary Association,foundations
InterNational Emergency and Development Aid,other
InterNational Emergency and Development Aid Relief,NGOs
InterNational Federation of Human Rights,NGOs
InterNational Federation of Journalist,private individual organisations
InterNational Federation of Journalists,private individual organisations
InterNational Federation of Red Cross and Red Crescent Societies,red cross
InterNational Foundation for Education and Self Help,foundations
InterNational Foundation for Election Systems,foundations
InterNational Fund for Agricultural Development ,UN Multi
InterNational Health Partners,NGOs
InterNational HIV/AIDS Alliance,NGOs
InterNational Human Rights Law Group,NGOs
InterNational Humanitarian City,other
InterNational Humanitarian Fact-Finding Commission,other
InterNational Humanitarian Fund LIBA,other
InterNational Humanitarian Partnership,Other multi
InterNational Humanitarian Service,NGOs
InterNational Humanitarian Service ,NGOs
InterNational IDEA,Other multi
International Initiative for Impact Evaluation (3ie),academia/think/research
InterNational Institute for Democracy and Electoral Assistance - InterNational IDEA,Other multi
InterNational Institute of Humanitarian Law,NGOs
InterNational Institute of Rural Reconstruction ,academia/think/research
InterNational Institute of Tropical Agriculture,academia/think/research
InterNational Institute of Tropical Agriculture ,academia/think/research
International Islamic Charitable Organization,NGOs
InterNational Islamic Charity Organization,NGOs
InterNational Islamic Relief,NGOs
International Islamic Relief Organization,NGOs
InterNational Labour Organization,UN Multi
InterNational Lifeline Fund,private individual organisations
InterNational Maritime Organization,UN Multi
InterNational Media Support,NGOs
InterNational Medical Corps,NGOs
InterNational Medical Corps UK,NGOs
InterNational Medical Support Services,private sector corporations
InterNational Movement ATD Fourth World,NGOs
InterNational News Safety Institute,private individual organisations
International NGO Safety Organisation,NGOs
InterNational NGO Training and Research Centre,academia/think/research
"InterNational Nothilfe e.V., Coswig",NGOs
InterNational Olympic Committee,Other multi
InterNational Organization for Migration,Other multi
InterNational Orthodox Christian Charities,NGOs
InterNational Paper,private sector corporations
InterNational Partnership for Human Development,NGOs
InterNational Peace Academy,academia/think/research
InterNational Peace and Cooperation Center (IPCC),academia/think/research
InterNational Peace Building Alliance/WSP InterNational,other
InterNational Peace Research Institute,academia/think/research
"InterNational Pen, Writers in Prison Committee",private individual organisations
International Planned Parenthood Federation,NGOs
InterNational Planned Parenthood Federation Western Hemisphere Region ,private individual organisations
InterNational Potato Center,academia/think/research
InterNational Press Institute,private individual organisations
InterNational Programme for the Development of Communication,UN Multi
InterNational Reading Association,private individual organisations
InterNational Rehabilitation Council of Tortured Victims,other
InterNational Relief and Development,NGOs
InterNational Relief Solutions LLC,private sector corporations
InterNational Relief Teams,NGOs
InterNational Rescue Committee,NGOs
InterNational Resources Group,private sector corporations
InterNational Security Assistance Force,Other multi
InterNational Security Sector Advisory Team,academia/think/research
InterNational Service for Human Rights,NGOs
InterNational Strategy for Disaster Reduction,UN Multi
"InterNational Strategy for Disaster Reduction, Africa",UN Multi
International Talk Network Ltd,other
InterNational Telecommunications Union,UN Multi
InterNational Training Inc.,private sector corporations
InterNational Trust Fund for Demining and Victim Assistance ,NGOs
InterNational Volley-Ball Federation,private individual organisations
InterNational Voluntary Agencies,NGOs
International Volunteer Center of Yamagata,NGOs
InterNational Work Group for Indigenous Affairs,NGOs
InterNational Youth Foundation,foundations
InterNationaler Verein für Frieden und Gerechtigkeit - Pro Humanitate e.V. Köln,NGOs
Internews,NGOs
Internews Europe,NGOs
Internews Network,NGOs
"INTERPAL, UK",NGOs
Interpeace,other
INTERSOS,NGOs
"Interstate Products, Inc",private sector corporations
"INTERVIDA FOUNDATION, SPAIN",foundations
Intervita,NGOs
Intl Humanitarian Org World View,NGOs
Inuit Circumpolar Conference,NGOs
InWent,NGOs
IOGT-NTO,other
IOM / UNICEF / UNFPA,UN Multi
IPYS - Instituto Prensa y Sociedad,other
IQC TBD,other
Iqra Cultural Center,other
IRA Fund,other
Iran,NDD
Iran Red Crescent,red cross
Iraq,NDD
Iraq Trust Fund (OCHA),UN Multi
Iraqi Handicapped Society,NGOs
Iraqi Red Crescent Society,red cross
Iraqi Relief Organisation,other
Iraqi Southern Sun Association,other
Iraqi Youth League,NGOs
Ireland,DAC governments
Ireland Aid Mission,DAC governments
Ireland Red Cross,red cross
"IRIS KIM, Inc.",private sector corporations
Irish Centre for Human Rights,academia/think/research
Irish Red Cross Society,red cross
Irish Research Council for the humanities and Social Councils,academia/think/research
Irish Sri Lanka Trust Fund,other
Irish UNMIL Battalion,other
ISJ,other
Islamic African Relief Agency,NGOs
Islamic Centre of Tucson,academia/think/research
Islamic Charity Association,NGOs
Islamic Commission of Care,other
Islamic Development Bank,Other multi
Islamic Edu. Scien. Cultural Org.,Other multi
Islamic Help,NGOs
ISLAMIC HERITAGE SOCIETY,other
Islamic Institute of Autism,private individual organisations
Islamic Medical Association,private individual organisations
Islamic Relief Pakistan,NGOs
Islamic Relief Worldwide,NGOs
ISLAMIC SHURA COUNCIL OF MICHIGAN,private individual organisations
ISP IN AFRICA,other
ISPED,academia/think/research
ISRA - Islamic Relief Agency,NGOs
Israel,NDD
ISS - Institute for Security Studies,academia/think/research
Istanbul InterNational Brotherhood and Assistance Association,NGOs
ISTITUTO OIKOS ONLUS,NGOs
