Donor,privatemoney
InterNational Maritime Organization,no
InterNational Media Support,no
InterNational Medical Corps,no
InterNational Medical Corps UK,no
InterNational Medical Support Services,private
InterNational Movement ATD Fourth World,no
InterNational News Safety Institute,private
International NGO Safety Organisation,no
InterNational NGO Training and Research Centre,no
"InterNational Nothilfe e.V., Coswig",no
InterNational Olympic Committee,no
InterNational Organization for Migration,no
InterNational Orthodox Christian Charities,no
InterNational Paper,private
InterNational Partnership for Human Development,no
InterNational Peace Academy,no
InterNational Peace and Cooperation Center (IPCC),no
InterNational Peace Building Alliance/WSP InterNational,no
InterNational Peace Research Institute,no
"InterNational Pen, Writers in Prison Committee",private
International Planned Parenthood Federation,no
InterNational Planned Parenthood Federation Western Hemisphere Region ,private
InterNational Potato Center,no
InterNational Press Institute,private
InterNational Programme for the Development of Communication,no
InterNational Reading Association,private
InterNational Rehabilitation Council of Tortured Victims,no
InterNational Relief and Development,no
InterNational Relief Solutions LLC,private
InterNational Relief Teams,no
InterNational Rescue Committee,no
InterNational Resources Group,private
InterNational Security Assistance Force,no
InterNational Security Sector Advisory Team,no
InterNational Service for Human Rights,no
InterNational Strategy for Disaster Reduction,no
"InterNational Strategy for Disaster Reduction, Africa",no
International Talk Network Ltd,no
InterNational Telecommunications Union,no
InterNational Training Inc.,private
InterNational Trust Fund for Demining and Victim Assistance ,no
InterNational Volley-Ball Federation,private
InterNational Voluntary Agencies,no
International Volunteer Center of Yamagata,no
InterNational Work Group for Indigenous Affairs,no
InterNational Youth Foundation,private
InterNationaler Verein für Frieden und Gerechtigkeit - Pro Humanitate e.V. Köln,no
Internews,no
Internews Europe,no
Internews Network,no
"INTERPAL, UK",no
Interpeace,no
INTERSOS,no
"Interstate Products, Inc",private
"INTERVIDA FOUNDATION, SPAIN",private
Intervita,no
Intl Humanitarian Org World View,no
Inuit Circumpolar Conference,no
InWent,no
IOGT-NTO,no
IOM / UNICEF / UNFPA,no
IPYS - Instituto Prensa y Sociedad,no
IQC TBD,no
Iqra Cultural Center,no
IRA Fund,no
Iran,no
Iran Red Crescent,no
Iraq,no
Iraq Trust Fund (OCHA),no
Iraqi Handicapped Society,no
Iraqi Red Crescent Society,no
Iraqi Relief Organisation,no
Iraqi Southern Sun Association,no
Iraqi Youth League,no
Ireland,no
Ireland Aid Mission,no
Ireland Red Cross,no
"IRIS KIM, Inc.",private
Irish Centre for Human Rights,no
Irish Red Cross Society,no
Irish Research Council for the humanities and Social Councils,no
Irish Sri Lanka Trust Fund,no
Irish UNMIL Battalion,no
ISJ,no
Islamic African Relief Agency,no
Islamic Centre of Tucson,no
Islamic Charity Association,no
Islamic Commission of Care,no
Islamic Development Bank,no
Islamic Edu. Scien. Cultural Org.,no
Islamic Help,no
ISLAMIC HERITAGE SOCIETY,no
Islamic Institute of Autism,private
Islamic Medical Association,private
Islamic Relief Pakistan,no
Islamic Relief Worldwide,no
ISLAMIC SHURA COUNCIL OF MICHIGAN,private
ISP IN AFRICA,no
ISPED,no
ISRA - Islamic Relief Agency,no
Israel,no
ISS - Institute for Security Studies,no
Istanbul InterNational Brotherhood and Assistance Association,no
ISTITUTO OIKOS ONLUS,no
Italian Agency for Food Aid (AGEA),no
Italian Consortium of Solidarity,no
Italian Development Cooperation,no
Italian Red Cross,no
Italy,no
Italy Red Cross,no
ITF,no
ITT Corporation,private
IUED,no
J. Smith Lanier & Co.,private
J. Willard and Alice S. Marriott Foundation,private
JAFS,no
JAGAN. L.A.,no
Jairos Jiri Association,no
Jamaica,no
Jamaica Red Cross,no
Janus e.V,no
Japan,no
Japan Actions for Relief Center,no
Japan Agency for Development and Emergency,no
Japan America Society of Southern California,private
Japan Asian Association and Asian Friendship Society,no
Japan Association for Refugees,no
Japan Association for UNHCR,no
Japan Association for WFP,no
Japan Center for Conflict Prevention,no
Japan Committee for Refugee Relief,no
Japan Disaster Relief,no
Japan Emergency NGO,no
Japan Emergency NGOs,no
Japan International Cooperation Agency,no
Japan Overseas Cooperation Volunteers,no
Japan Rescue Association,no
Japan Self Defense Forces,no
Japan Society,private
Japan-ASEAN Integration Fund,no
Japanese Kindergarten Association,no
Japanese NGOs,no
Japanese Red Cross,no
Japanese Red Cross Society,no
Japanese Society of Georgia,private
JASMAR,private
JASMAR Human Security Organization,no
JC Penny,private
JCB,private
JCS - Joint Christian Services,no
Jefferies Group Inc,private
Jemael-InterNational,private
JEOP - Joint Emergency Operation,no
JERSEY OVERSEAS AID,no
Jesuit Refugee Service,no
JHPIEGO,private
JICA -  Japan InterNational Cooperation Agency,no
JM Family Enterprises inc. and Southeast Toyota Distributors LLC,private
Jmaaiat Al ayadi Albaidaa - Lebanon,no
Johanniter Unfallhilfe e.V.,no
John D. and Catherine T. MacArthur Foundation,private
John Deere Foundation,private
John Hopkins University,no
"John S Connor, Inc",private
John S. and James L. Knight Foundation,private
John Snow InterNational,no
Johnson & Johnson,private
Johor Community Development Committee for Women and Family Development ,no
Joint Christian Services InterNational,private
"Joint Development Associates, USA",no
Joint IDP Profiling Service,no
Joint Mediation Support Team,no
Joint Military Commission,no
Joint Mine Action Coordination Team,no
Joint Research Centre,no
Joint Saudi Committee for Kosovo Relief/Skopje,no
Joint Standards Initiative,no
Jolie-Pitt Foundation,private
Jones Lang LaSalle,private
Jordan,no
JORDAN HASHEMITE CHARITY ORGANIZATION,no
Jordan Health Aid Society,no
Jordan National Red Crescent Society,no
JORDAN RIVER FOUNDATION,no
Jordanian Charity Association,no
Jordanian Civil Defense,no
Jordanian Hashemite Charity Organisation,no
Jordanian Red Crescent,no
Jordanian River Society,private
JP Morgan Chase,private
JPF - Japan Platform,no
JSI,no
JT InterNational Foundation,private
JTS-Korea,private
Juba Shine,no
Jubaland Development Organization,no
Jubbalandese Charity Centre,no
Judicial System Monitoring Programme,no
Juffali Foundation,private
Juhaina for Industries,private
Jungbu Annual Conference of the KMC,no
JUPEDEC (United Youth for the Protection of the Environment and Community Development),no
Juridisk rådgivning for kvinner,no
Just Associates,no
Justisdepartementet,no
KAALO Relief and Development Organisation,no
Kabakabiya Smallhoders Charitable Society,private
KADECO,no
Kadugli Interfaith Coalition,private
KAFA,no
Kaiser Permanente,private
Kanz Humanitarian organization,no
Karda Systems,private
Karl Kubel Foundation for Children's Families,private
"Karolinska Institutet, Department of Public Health Sciences",no
Karuna Hpaan,no
Karuna Myanmar Social Services,private
Karuna Taungngu,private
Katachel e.V,no
Katholische Männerbewegung,no
Kazakh Red Crescent Society,no
Kazakhstan,no
Kazakhstan Red Crescent,no
KCI,private
Kellogg Corporation,private
Kenya,no
Kenya Community Sports Foundation,private
Kenya Land Alliance,no
Kenya Red Cross,no
Kenyan Red Cross Society,no
Kepal Perempuan,no
Keren Hayesod,no
Kerk in Actie - Netherlands,no
Kerkinactie - Netherlands,no
KESI,no
Key Stone,no
KFUK/KFUM,no
Khalifa Bin Zyed Al Nehayan Foundation,private
Khalifa Foundation,private
Khartoum Teaching Hospital,no
Kher Khegara Tanzeem,no
Khoo Teck Puat Foundation,private
Khuram and Sarbagh Rehabilitation Organization,private
Khushal Awareness and Development Organization,no
Kids and Women Organization,no
Kids in Distressed Situations,private
Kim Seung-Jung,private
Kimse Yok Mu Solidarity Foundation,private
Kinder brauchen uns e.V,no
KINDER USA,no
Kinderberg InterNational e.V.,no
Kinderdorf Pestalozzi,private
Kindernothilfe e.V.,no
"Kinetic Concepts, Inc.",private
Kingdom Foundation,private
Kings College London,no
Kinross,private
Kirkland & Ellis LLP,private
KISIMA Peace and Development Organization,no
Kissito Healthcare International,private
"Kjemisk Forbund, Palestinagruppene",no
Klaila Organisation,no
Kleenheat Gas,private
Knowledge for Iraqi Women Society ,no
Kobü,no
Kohl's Department Stores,private
Kohsar Welfare and Educational Society,no
Kolnische Franziskanerprovinz Bosnienhilfe,no
Kölnische Franziskanerprovinz Von Den Heiligen Drei Königen,private
Komitee Arzte,no
Komitee Cap Anamur,no
Kompetansesenteret for urfolksrettigheter,no
Koperativ Agrikol Tibiwon,no
Korea Buddhist Order Association,no
Korea Campus Crusade for Christ,no
Korea Food for the Hungry InterNational,no
Korea Red Cross (DPR of) ,no
Korea Red Cross (Republic of) ,no
"Korea State Council, Lions Clubs InterNational",no
"Korea, Democratic People's Republic of",no
"Korea, Republic of",no
"Korean American Business Council of NY, Inc.",private
Korean Broadcast Company,private
Korean Church Federation of Support for North Korea,private
Korean Farmers' Association,no
Korean Foundation for InterNational Healthcare,no
"Korean Reconciliation Committee, Archdiocese of Korea",no
Korean Sharing Movement,no
Korean Welfare Foundation,private
Korean-American Association,private
Kosovo Force (NATO)/Civil-Military Co-operation,no
KPR,no
Kraft Foods Foundation,private
Kresge Foundation,private
Kriminalomsorg.utdanningssent,no
Kristna Freds,no
Kroger Co. Foundation,private
Kubota Corporation,private
Kuehne & Nagel,private
Kurdish Human Rights Project,private
Kurdistan Reconstruction and Development Society,no
Kuwait,no
Kuwait Joint Relief Committee,private
Kuwait Red Crescent Society,no
Kuwaiti Patients Helping Fund,private
Kuwaiti Social Reform Society,private
Kuwaiti Society for Relief,no
Kvekerhjelp,private
Kyocera Corporation,private
Kyrgyzstan,no
Kyrgyzstan Red Crescent,no
L.L. Bean,private
La chaine de l'espoir,no
La ligue démocratique pour les droits de la femme,no
Lacha Community and Economic Development,no
LAG - Latin-Amerikagruppene i Norge,no
L'Agora/Madani Dia,no
Lambi Fund of Haiti,no
Lamset Shifa,no
Lance Armstrong Foundation,private
Land O'Lakes,private
Land Research Center ,no
Landistar Express America,private
Landmine Action,no
Landmine Survivors Initiatives,no
Landmine Survivors Network,no
LandsAid e.V.,no
Landsforeningen for lesbisk og homofil frigjøring,private
"Landsorganisasjonen i Norge, 3",private
"Landsorganisasjonen i Norge, internasj. sekret.",no
Landstar Express America,private
Lao (People's Democratic Republic),no
Lao Red Cross,no
Las Dignas,no
Las Qorey Concern,no
Latin American Benevolent Foundation,private
Latter Day Saints,no
Latter-Day Saint Charities,private
Latvia,no
Latvia Red Cross,no
Latvian Red Cross,no
Lay Volunteers InterNational Association,no
Lazarus-Hilfswerk e.V.,no
Lead Against Marginality and Poverty,no
LEAD Trust,no
"Leadership, Management and Sustainability Program",no
League of Arab States,no
Lebanese Association for Popular Action,no
Lebanese Red Cross,no
Lebanon,no
Lebanon Support,no
LEGO Foundation,private
Leonardo DiCaprio Foundation,private
Leprosy Aid Switzerland,no
Les Amis du Liban,private
Les Amis du Tibet,private
Les Sarments de Lavaux,private
Lesotho,no
Lesotho Ministry of Agriculture and CARE Lesotho,no
Levi Strauss Foundation,private
LG Electronic Inc.,private
LH/ACT,no
Liberia,no
"Liberia Dujar Association, Sweden",no
Liberia Reconstruction Trust Fund,no
Liberia WASH Consortium,no
Liberian Red Cross,no
Liberian Red Cross Society,no
Libya,no
Libya Red Crescent,no
Libyan Relief Committee,no
Lichtbrücke e.V,no
LIDEAS DRC,no
Liechtenstein,no
Liechtenstein Red Cross,no
Life and Peace Institute,no
Life for Relief and Development,no
Life for Syria,no
Life InterNational,private
Life With Dignity,private
Liggett Vector Brands Inc.,private
Light Force InterNational,no
Lighthouse Association,no
Lihir Gold Limited,private
Lima Airport Partners,private
Limited Brands,private
Limmatstiftung Zurich,private
Lindner Foundation Uganda,private
Linkage Trust,no
Lion Aid,no
LIONS CLUB,private
Lions Clubs InterNational Foundation,private
Lipsey Water,private
Lisa and Douglas Goldman Fund,private
Lithuania,no
Lithuania Red Cross,no
Lithuanian Red Cross Society,no
Lithuanian Red Cross Society,no
Living Waters,private
Lloyd A. Fry Foundation,private
Lms Water Systems (France),private
Local Action Organization,no
Lockheed Martin,private
Logenix,private
Lois Berger,private
Los Angeles County Search and Rescue,no
Louis Berger,private
Louis Vutton,private
Louisville Gas & Electric and Kentucky Utilities Co.,private
Louvain-Developpement,no
Lowe's Companies Inc.,private
LPDS - Dr. Soetomo Press Institute,no
LSN - Landmine Survivors Network ,no
LSQC,no
Lubrizol,private
Luchetti,private
Ludwig Boltzmann Institute of Human Rights,no
Lupin,private
Lutheran Development Service,no
Lutheran World Federation,no
Lutheran World Relief,no
Lutheran World Relief (LWR/Canada),no
Lutherischer Weltbund Deutsches Nationalkomitee,no
Luxembourg,no
Luxembourg Red Cross,no
M&T Bank,private
M. J. Murdock Charitable Trust,no
M.A.C. AIDS Fund,no
MAAG,no
MAAMS,no
Ma'an,private
MA'AN Development Center,no
Maarouf Saad Social and Cultural Foundation,private
MAB Consulting,private
Macedonia Centre for InterNational Cooperation,no
"Macedonia, Former Yugoslav Republic of ",no
"Macedonia, FYR Red Cross",no
Madagascar,no
Madagascar Red Cross,no
MADERA,no
Madrasati,no
Mag. Raheb,no
MAGE SOLAR,private
Magen David Adom,no
Magna Deti v nudzi [Magna Children at Risk],no
Mahvash and Jahangir Siddiqui Foundation,no
MAI,no
Maison Shalom Ruyigi,no
Majulah Indonesia Tanah Airku,no
Mala Sirena,no
Malagasy Red Cross,no
Malagasy Red Cross Society,no
Malaria Consortium,no
Malawi,no
Malawi Economic Justice Network,no
Malawi Red Cross,no
Malawi Red Cross Society,no
Malaysia,no
Malaysia Red Crescent Society,no
Malaysia Red Cross,no
Maldive Red Cross,no
Maldives,no
Mali,no
Mali Red Cross,no
